threshold,auc,kappa,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
0.05,0.9250368188512519,0.07127112417340176,0.459915611814346,1.0,0.08571428571428572,0.4311111111111111,0.6024844720496895,12,128,0,97
0.1,0.9250368188512519,0.23599629759662943,0.5738396624472574,0.979381443298969,0.29285714285714287,0.4896907216494845,0.6529209621993127,41,99,2,95
0.15000000000000002,0.9250368188512519,0.387272124627113,0.6708860759493671,0.9587628865979382,0.4714285714285714,0.5568862275449101,0.7045454545454545,66,74,4,93
0.2,0.9250368188512519,0.6114076399790686,0.8016877637130801,0.9381443298969072,0.7071428571428572,0.6893939393939394,0.794759825327511,99,41,6,91
0.25,0.9250368188512519,0.7035064517282054,0.8523206751054853,0.9175257731958762,0.8071428571428572,0.7672413793103449,0.8356807511737089,113,27,8,89
0.3,0.9250368188512519,0.733292191527208,0.869198312236287,0.8865979381443299,0.8571428571428571,0.8113207547169812,0.8472906403940886,120,20,11,86
0.35000000000000003,0.9250368188512519,0.6580592652880026,0.8354430379746836,0.7835051546391752,0.8714285714285714,0.8085106382978723,0.7958115183246073,122,18,21,76
0.4,0.9250368188512519,0.6808080808080808,0.8481012658227848,0.7628865979381443,0.9071428571428571,0.8505747126436781,0.8043478260869564,127,13,23,74
0.45,0.9250368188512519,0.7059884966730574,0.8607594936708861,0.7628865979381443,0.9285714285714286,0.8809523809523809,0.8176795580110496,130,10,23,74
0.5,0.9250368188512519,0.702136573104315,0.8607594936708861,0.7216494845360825,0.9571428571428572,0.9210526315789473,0.8092485549132947,134,6,27,70
0.55,0.9250368188512519,0.6830461197508693,0.8523206751054853,0.7010309278350515,0.9571428571428572,0.918918918918919,0.7953216374269005,134,6,29,68
0.6000000000000001,0.9250368188512519,0.6830461197508693,0.8523206751054853,0.7010309278350515,0.9571428571428572,0.918918918918919,0.7953216374269005,134,6,29,68
0.6500000000000001,0.9250368188512519,0.6915952235150031,0.8565400843881856,0.7010309278350515,0.9642857142857143,0.9315068493150684,0.7999999999999999,135,5,29,68
0.7000000000000001,0.9250368188512519,0.7001725129384704,0.8607594936708861,0.7010309278350515,0.9714285714285714,0.9444444444444444,0.8047337278106509,136,4,29,68
0.7500000000000001,0.9250368188512519,0.6712898751733702,0.8481012658227848,0.6701030927835051,0.9714285714285714,0.9420289855072463,0.7831325301204819,136,4,32,65
0.8,0.9250368188512519,0.6507136208501396,0.8396624472573839,0.6391752577319587,0.9785714285714285,0.9538461538461539,0.765432098765432,137,3,35,62
0.8500000000000001,0.9250368188512519,0.6113540527877558,0.8227848101265823,0.5979381443298969,0.9785714285714285,0.9508196721311475,0.7341772151898734,137,3,39,58
0.9000000000000001,0.9250368188512519,0.5914753584580428,0.8143459915611815,0.5773195876288659,0.9785714285714285,0.9491525423728814,0.717948717948718,137,3,41,56
0.9500000000000001,0.9250368188512519,0.412866019575194,0.7426160337552743,0.38144329896907214,0.9928571428571429,0.9736842105263158,0.548148148148148,139,1,60,37
